trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1031,196575.5,manmade,new,falsealarm,subsequent_remembered
2,2049,198400.5,natural,new,correctreject,na
3,2041,199668.5,natural,new,correctreject,subsequent_remembered
4,1049,201095,manmade,new,correctreject,na
5,1041,202846,manmade,new,correctreject,subsequent_remembered
6,1049,204091.5,manmade,new,correctreject,na
7,1041,205220.5,manmade,new,correctreject,subsequent_remembered
8,2049,206740,natural,new,correctreject,na
9,2041,207981,natural,new,correctreject,subsequent_remembered
10,1049,209306,manmade,new,correctreject,na
11,1041,210949.5,manmade,new,correctreject,subsequent_remembered
12,2049,212386.5,natural,new,correctreject,na
13,1041,213496,manmade,new,correctreject,subsequent_remembered
14,2049,214596.5,natural,new,correctreject,na
15,1041,215738.5,manmade,new,correctreject,subsequent_remembered
16,2049,216866,natural,new,correctreject,na
17,1041,218163.5,manmade,new,correctreject,subsequent_remembered
18,1049,220056.5,manmade,new,correctreject,na
19,2041,221557,natural,new,correctreject,subsequent_remembered
20,1049,222793.5,manmade,new,correctreject,na
21,2041,224060,natural,new,correctreject,subsequent_remembered
22,1049,225595,manmade,new,correctreject,na
23,1040,226966.5,manmade,new,correctreject,subsequent_forgotten
24,1049,228367.5,manmade,new,correctreject,na
25,2111,230294.5,natural,old,hit,subsequent_remembered
26,2041,231635,natural,new,correctreject,subsequent_remembered
27,1111,233285.5,manmade,old,hit,subsequent_remembered
28,1049,234648.5,manmade,new,correctreject,na
29,1111,236136,manmade,old,hit,subsequent_remembered
30,2041,237598.5,natural,new,correctreject,subsequent_remembered
31,2049,239656,natural,new,correctreject,na
32,2041,241289,natural,new,correctreject,subsequent_remembered
33,1121,243522.5,manmade,old,miss,subsequent_remembered
34,1049,245034.5,manmade,new,correctreject,na
35,2111,246506,natural,old,hit,subsequent_remembered
36,1040,248598,manmade,new,correctreject,subsequent_forgotten
37,2111,250670.5,natural,old,hit,subsequent_remembered
38,1039,252836.5,manmade,new,falsealarm,na
39,1111,254286,manmade,old,hit,subsequent_remembered
40,2031,255639,natural,new,falsealarm,subsequent_remembered
41,2111,257307.5,natural,old,hit,subsequent_remembered
42,1049,258977,manmade,new,correctreject,na
43,1111,260554.5,manmade,old,hit,subsequent_remembered
44,1041,262724.5,manmade,new,correctreject,subsequent_remembered
45,1111,264295.5,manmade,old,hit,subsequent_remembered
46,1049,266711,manmade,new,correctreject,na
47,2119,268284,natural,old,hit,na
48,2031,269661.5,natural,new,falsealarm,subsequent_remembered
49,2119,271679.5,natural,old,hit,na
50,2111,273034.5,natural,old,hit,subsequent_remembered
51,1119,274483,manmade,old,hit,na
52,1049,275801,manmade,new,correctreject,na
53,1111,277651.5,manmade,old,hit,subsequent_remembered
54,2111,279266.5,natural,old,hit,subsequent_remembered
55,1111,281064.5,manmade,old,hit,subsequent_remembered
56,1041,282835.5,manmade,new,correctreject,subsequent_remembered
57,2119,284294.5,natural,old,hit,na
58,2111,286293,natural,old,hit,subsequent_remembered
59,2049,288397.5,natural,new,correctreject,na
60,2041,290029,natural,new,correctreject,subsequent_remembered
61,1119,291803.5,manmade,old,hit,na
62,2049,293232,natural,new,correctreject,na
63,2041,294963.5,natural,new,correctreject,subsequent_remembered
64,2119,296330.5,natural,old,hit,na
65,1119,298017.5,manmade,old,hit,na
66,2119,299522,natural,old,hit,na
67,1119,301410.5,manmade,old,hit,na
68,1049,302732,manmade,new,correctreject,na
69,1119,304049,manmade,old,hit,na
70,2111,305381,natural,old,hit,subsequent_remembered
71,2041,307001,natural,new,correctreject,subsequent_remembered
72,1049,308970.5,manmade,new,correctreject,na
73,1041,310344.5,manmade,new,correctreject,subsequent_remembered
74,1121,311929,manmade,old,miss,subsequent_remembered
75,1049,313505,manmade,new,correctreject,na
76,2041,314737.5,natural,new,correctreject,subsequent_remembered
77,1119,316025,manmade,old,hit,na
78,2049,317624,natural,new,correctreject,na
79,2030,319115.5,natural,new,falsealarm,subsequent_forgotten
80,1049,320688.5,manmade,new,correctreject,na
81,2041,322525.5,natural,new,correctreject,subsequent_remembered
82,1049,324209,manmade,new,correctreject,na
83,1111,325637,manmade,old,hit,subsequent_remembered
84,2041,327027,natural,new,correctreject,subsequent_remembered
85,2049,328228.5,natural,new,correctreject,na
86,2119,330796.5,natural,old,hit,na
87,2040,332880.5,natural,new,correctreject,subsequent_forgotten
88,1039,335190.5,manmade,new,falsealarm,na
89,1040,336780,manmade,new,correctreject,subsequent_forgotten
90,1119,338151.5,manmade,old,hit,na
91,2049,339460,natural,new,correctreject,na
92,2111,340835,natural,old,hit,subsequent_remembered
93,1119,341995.5,manmade,old,hit,na
94,1110,343720,manmade,old,hit,subsequent_forgotten
95,2119,345025,natural,old,hit,na
96,2119,346589,natural,old,hit,na
97,2031,348473,natural,new,falsealarm,subsequent_remembered
98,2111,350234,natural,old,hit,subsequent_remembered
99,1119,351753.5,manmade,old,hit,na
100,2111,353598.5,natural,old,hit,subsequent_remembered
101,2111,356157.5,natural,old,hit,subsequent_remembered
102,2119,357594,natural,old,hit,na
103,1119,359315,manmade,old,hit,na
104,1111,360936.5,manmade,old,hit,subsequent_remembered
105,1049,362300.5,manmade,new,correctreject,na
106,2041,364034.5,natural,new,correctreject,subsequent_remembered
107,1049,365288.5,manmade,new,correctreject,na
108,2111,367305.5,natural,old,hit,subsequent_remembered
109,2111,368762.5,natural,old,hit,subsequent_remembered
110,1031,369965.5,manmade,new,falsealarm,subsequent_remembered
111,2049,371465,natural,new,correctreject,na
112,2041,373727.5,natural,new,correctreject,subsequent_remembered
113,2111,375741,natural,old,hit,subsequent_remembered
114,2119,377592,natural,old,hit,na
115,1049,379534.5,manmade,new,correctreject,na
116,1040,381676,manmade,new,correctreject,subsequent_forgotten
117,2121,383313,natural,old,miss,subsequent_remembered
118,2119,385572.5,natural,old,hit,na
119,2111,387085,natural,old,hit,subsequent_remembered
120,1119,389198.5,manmade,old,hit,na
121,1049,390468,manmade,new,correctreject,na
122,2040,393143.5,natural,new,correctreject,subsequent_forgotten
123,1049,394916.5,manmade,new,correctreject,na
124,1041,396271.5,manmade,new,correctreject,subsequent_remembered
125,2121,397839,natural,old,miss,subsequent_remembered
126,1111,399202,manmade,old,hit,subsequent_remembered
127,2049,400450.5,natural,new,correctreject,na
128,2111,402138.5,natural,old,hit,subsequent_remembered
129,1041,403751.5,manmade,new,correctreject,subsequent_remembered
130,1049,405620,manmade,new,correctreject,na
131,1041,407111.5,manmade,new,correctreject,subsequent_remembered
132,1129,408425,manmade,old,miss,na
133,1049,409997.5,manmade,new,correctreject,na
134,1041,411354.5,manmade,new,correctreject,subsequent_remembered
