trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1040,18222.5,manmade,new,correctreject,subsequent_forgotten
2,1049,19784,manmade,new,correctreject,na
3,2040,21207,natural,new,correctreject,subsequent_forgotten
4,2049,22630.5,natural,new,correctreject,na
5,1041,23992,manmade,new,correctreject,subsequent_remembered
6,1049,25405,manmade,new,correctreject,na
7,2040,26480,natural,new,correctreject,subsequent_forgotten
8,2049,27668,natural,new,correctreject,na
9,1040,28773.5,manmade,new,correctreject,subsequent_forgotten
10,2049,30012.5,natural,new,correctreject,na
11,2041,31082.5,natural,new,correctreject,subsequent_remembered
12,1049,32296,manmade,new,correctreject,na
13,1040,33483.5,manmade,new,correctreject,subsequent_forgotten
14,2049,34533,natural,new,correctreject,na
15,1040,35731,manmade,new,correctreject,subsequent_forgotten
16,1049,37006,manmade,new,correctreject,na
17,1121,38695.5,manmade,old,miss,subsequent_remembered
18,1041,39837,manmade,new,correctreject,subsequent_remembered
19,2039,41844,natural,new,falsealarm,na
20,1041,43958,manmade,new,correctreject,subsequent_remembered
21,1111,46026.5,manmade,old,hit,subsequent_remembered
22,2049,47388,natural,new,correctreject,na
23,2121,49154.5,natural,old,miss,subsequent_remembered
24,1041,50286,manmade,new,correctreject,subsequent_remembered
25,2049,52375.5,natural,new,correctreject,na
26,2041,54018,natural,new,correctreject,subsequent_remembered
27,2121,55262,natural,old,miss,subsequent_remembered
28,2049,56327,natural,new,correctreject,na
29,1041,57939.5,manmade,new,correctreject,subsequent_remembered
30,1049,59250,manmade,new,correctreject,na
31,2041,60658,natural,new,correctreject,subsequent_remembered
32,2049,62142.5,natural,new,correctreject,na
33,1119,63284.5,manmade,old,hit,na
34,1111,64743.5,manmade,old,hit,subsequent_remembered
35,2111,66363.5,natural,old,hit,subsequent_remembered
36,2041,67917.5,natural,new,correctreject,subsequent_remembered
37,1049,69299.5,manmade,new,correctreject,na
38,1040,70416,manmade,new,correctreject,subsequent_forgotten
39,1049,72033.5,manmade,new,correctreject,na
40,1040,74056.5,manmade,new,correctreject,subsequent_forgotten
41,2039,75125.5,natural,new,falsealarm,na
42,1041,76631,manmade,new,correctreject,subsequent_remembered
43,2119,78060,natural,old,hit,na
44,1111,79318.5,manmade,old,hit,subsequent_remembered
45,1049,80731.5,manmade,new,correctreject,na
46,1040,82170,manmade,new,correctreject,subsequent_forgotten
47,2119,83527,natural,old,hit,na
48,1039,84607,manmade,new,falsealarm,na
49,2040,85856,natural,new,correctreject,subsequent_forgotten
50,1119,87592,manmade,old,hit,na
51,1049,88825.5,manmade,new,correctreject,na
52,1040,90586.5,manmade,new,correctreject,subsequent_forgotten
53,1121,92803.5,manmade,old,miss,subsequent_remembered
54,2039,94831,natural,new,falsealarm,na
55,2111,97017,natural,old,hit,subsequent_remembered
56,1110,98450,manmade,old,hit,subsequent_forgotten
57,2041,100052.5,natural,new,correctreject,subsequent_remembered
58,1049,101245.5,manmade,new,correctreject,na
59,2119,102883.5,natural,old,hit,na
60,1040,104998,manmade,new,correctreject,subsequent_forgotten
61,2039,106457,natural,new,falsealarm,na
62,2040,107829,natural,new,correctreject,subsequent_forgotten
63,1119,109165.5,manmade,old,hit,na
64,2111,110844.5,natural,old,hit,subsequent_remembered
65,2049,112273,natural,new,correctreject,na
66,1111,114132,manmade,old,hit,subsequent_remembered
67,1041,115984.5,manmade,new,correctreject,subsequent_remembered
68,2049,117742,natural,new,correctreject,na
69,1121,119988,manmade,old,miss,subsequent_remembered
70,1120,121247.5,manmade,old,miss,subsequent_forgotten
71,2040,122865,natural,new,correctreject,subsequent_forgotten
72,2121,124718.5,natural,old,miss,subsequent_remembered
73,1121,126100.5,manmade,old,miss,subsequent_remembered
74,2049,129259.5,natural,new,correctreject,na
75,1041,130964.5,manmade,new,correctreject,subsequent_remembered
76,1119,132377,manmade,old,hit,na
77,2049,134696.5,natural,new,correctreject,na
78,1120,136290.5,manmade,old,miss,subsequent_forgotten
79,2119,137537.5,natural,old,hit,na
80,2119,139078.5,natural,old,hit,na
81,1119,140886,manmade,old,hit,na
82,1041,142186,manmade,new,correctreject,subsequent_remembered
83,1111,143814,manmade,old,hit,subsequent_remembered
84,1049,145319.5,manmade,new,correctreject,na
85,2041,146993.5,natural,new,correctreject,subsequent_remembered
86,1129,148432,manmade,old,miss,na
87,2121,151227.5,natural,old,miss,subsequent_remembered
88,2119,153464.5,natural,old,hit,na
89,1111,155739,manmade,old,hit,subsequent_remembered
90,1049,158256.5,manmade,new,correctreject,na
91,2041,160273.5,natural,new,correctreject,subsequent_remembered
92,1111,161451,manmade,old,hit,subsequent_remembered
93,1049,163396.5,manmade,new,correctreject,na
94,1129,165367.5,manmade,old,miss,na
95,2031,167556,natural,new,falsealarm,subsequent_remembered
96,2111,169140.5,natural,old,hit,subsequent_remembered
97,2049,170625,natural,new,correctreject,na
98,1121,171946,manmade,old,miss,subsequent_remembered
99,1119,173615,manmade,old,hit,na
100,1031,174782,manmade,new,falsealarm,subsequent_remembered
101,2049,177833.5,natural,new,correctreject,na
102,1129,179543.5,manmade,old,miss,na
103,2119,181491,natural,old,hit,na
104,1119,183260,manmade,old,hit,na
105,2030,184919,natural,new,falsealarm,subsequent_forgotten
106,1121,187197,manmade,old,miss,subsequent_remembered
107,1119,189664.5,manmade,old,hit,na
108,1119,190913.5,manmade,old,hit,na
109,2121,193094.5,natural,old,miss,subsequent_remembered
110,2049,194702,natural,new,correctreject,na
111,1119,196243,manmade,old,hit,na
112,1120,201815,manmade,old,miss,subsequent_forgotten
113,1110,204301.5,manmade,old,hit,subsequent_forgotten
114,2040,206308,natural,new,correctreject,subsequent_forgotten
115,2111,207903,natural,old,hit,subsequent_remembered
116,1049,209502.5,manmade,new,correctreject,na
117,2111,212018,natural,old,hit,subsequent_remembered
118,2040,213455,natural,new,correctreject,subsequent_forgotten
119,2110,214745,natural,old,hit,subsequent_forgotten
120,2119,216055.5,natural,old,hit,na
121,2049,217294.5,natural,new,correctreject,na
122,1119,219573,manmade,old,hit,na
123,1040,221498,manmade,new,correctreject,subsequent_forgotten
124,2049,223264,natural,new,correctreject,na
125,2119,225460,natural,old,hit,na
126,1041,227400.5,manmade,new,correctreject,subsequent_remembered
127,2049,228655,natural,new,correctreject,na
128,2031,230641,natural,new,falsealarm,subsequent_remembered
129,2121,232664.5,natural,old,miss,subsequent_remembered
130,1119,234194,manmade,old,hit,na
131,1049,235730,manmade,new,correctreject,na
132,1041,237260.5,manmade,new,correctreject,subsequent_remembered
133,2119,238530.5,natural,old,hit,na
134,1039,240189,manmade,new,falsealarm,na
135,2041,242413,natural,new,correctreject,subsequent_remembered
136,2049,244346,natural,new,correctreject,na
137,1041,246450,manmade,new,correctreject,subsequent_remembered
138,1110,248134.5,manmade,old,hit,subsequent_forgotten
139,2119,249578,natural,old,hit,na
140,2049,251595.5,natural,new,correctreject,na
141,1041,252865,manmade,new,correctreject,subsequent_remembered
142,2120,254513.5,natural,old,miss,subsequent_forgotten
143,1049,257790,manmade,new,correctreject,na
144,2111,259158,natural,old,hit,subsequent_remembered
145,2111,261629.5,natural,old,hit,subsequent_remembered
146,1041,263377,manmade,new,correctreject,subsequent_remembered
147,2049,265029,natural,new,correctreject,na
148,1040,266529,manmade,new,correctreject,subsequent_forgotten
149,1119,274106,manmade,old,hit,na
150,2049,275375.5,natural,new,correctreject,na
151,2040,277131.5,natural,new,correctreject,subsequent_forgotten
152,1049,278488,manmade,new,correctreject,na
153,1111,279911.5,manmade,old,hit,subsequent_remembered
154,2041,281273,natural,new,correctreject,subsequent_remembered
155,2119,282583.5,natural,old,hit,na
156,1111,284386,manmade,old,hit,subsequent_remembered
157,2129,286822.5,natural,old,miss,na
158,2129,288512,natural,old,miss,na
159,2039,289940.5,natural,new,falsealarm,na
160,1031,292147.5,manmade,new,falsealarm,subsequent_remembered
161,1121,293539.5,manmade,old,miss,subsequent_remembered
162,1129,295839.5,manmade,old,miss,na
163,1049,297773.5,manmade,new,correctreject,na
164,2031,299101.5,natural,new,falsealarm,subsequent_remembered
165,1049,301044.5,manmade,new,correctreject,na
166,1041,303456,manmade,new,correctreject,subsequent_remembered
167,2039,304751,natural,new,falsealarm,na
168,1031,306179.5,manmade,new,falsealarm,subsequent_remembered
169,1039,308857,manmade,new,falsealarm,na
170,1111,311565.5,manmade,old,hit,subsequent_remembered
171,2041,313446,natural,new,correctreject,subsequent_remembered
172,1129,314923.5,manmade,old,miss,na
173,1129,317493.5,manmade,old,miss,na
174,2121,319818,natural,old,miss,subsequent_remembered
175,1049,322255,manmade,new,correctreject,na
176,1040,325807.5,manmade,new,correctreject,subsequent_forgotten
177,2119,327149,natural,old,hit,na
178,2111,329468,natural,old,hit,subsequent_remembered
179,1111,330763.5,manmade,old,hit,subsequent_remembered
180,2049,332115,natural,new,correctreject,na
181,2111,333487,natural,old,hit,subsequent_remembered
182,2119,334987,natural,old,hit,na
183,1041,336364,manmade,new,correctreject,subsequent_remembered
184,1111,337854,manmade,old,hit,subsequent_remembered
185,1119,339195.5,manmade,old,hit,na
186,1111,340522,manmade,old,hit,subsequent_remembered
187,1049,342471.5,manmade,new,correctreject,na
188,2111,343675,natural,old,hit,subsequent_remembered
189,2121,345840.5,natural,old,miss,subsequent_remembered
190,1111,347325,manmade,old,hit,subsequent_remembered
191,1041,349362.5,manmade,new,correctreject,subsequent_remembered
192,1120,350709,manmade,old,miss,subsequent_forgotten
193,2039,352173,natural,new,falsealarm,na
194,1119,353857.5,manmade,old,hit,na
195,2111,355019.5,natural,old,hit,subsequent_remembered
196,2041,356576,natural,new,correctreject,subsequent_remembered
197,2049,357968.5,natural,new,correctreject,na
198,2119,359729.5,natural,old,hit,na
199,1040,361921,manmade,new,correctreject,subsequent_forgotten
200,1049,363185.5,manmade,new,correctreject,na
201,1041,365351,manmade,new,correctreject,subsequent_remembered
202,1119,366945,manmade,old,hit,na
203,1049,368340.5,manmade,new,correctreject,na
204,2119,369600,natural,old,hit,na
205,2119,371337,natural,old,hit,na
206,2031,372523.5,natural,new,falsealarm,subsequent_remembered
207,1111,373752,manmade,old,hit,subsequent_remembered
208,1121,374926.5,manmade,old,miss,subsequent_remembered
209,1121,376127.5,manmade,old,miss,subsequent_remembered
210,2049,377909,natural,new,correctreject,na
211,1111,387073,manmade,old,hit,subsequent_remembered
212,1041,388250.5,manmade,new,correctreject,subsequent_remembered
213,1119,389986,manmade,old,hit,na
214,1119,391214.5,manmade,old,hit,na
215,2039,392325.5,natural,new,falsealarm,na
216,1119,394035.5,manmade,old,hit,na
217,2041,395448.5,natural,new,correctreject,subsequent_remembered
218,1039,397025,manmade,new,falsealarm,na
219,2119,398643,natural,old,hit,na
220,1111,400227.5,manmade,old,hit,subsequent_remembered
221,1111,401674,manmade,old,hit,subsequent_remembered
222,2111,403655,natural,old,hit,subsequent_remembered
223,1119,405467.5,manmade,old,hit,na
224,2031,407126,natural,new,falsealarm,subsequent_remembered
225,1119,409040.5,manmade,old,hit,na
226,1039,410593,manmade,new,falsealarm,na
227,2119,412665.5,natural,old,hit,na
228,1111,414304.5,manmade,old,hit,subsequent_remembered
229,1041,416331,manmade,new,correctreject,subsequent_remembered
230,1119,417647.5,manmade,old,hit,na
231,1049,419064.5,manmade,new,correctreject,na
232,2119,421000,natural,old,hit,na
233,2110,422223.5,natural,old,hit,subsequent_forgotten
234,2111,423426.5,natural,old,hit,subsequent_remembered
235,1041,424744,manmade,new,correctreject,subsequent_remembered
