trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1040,23726,manmade,new,correctreject,subsequent_forgotten
2,1049,25153,manmade,new,correctreject,na
3,2041,27103.5,natural,new,correctreject,subsequent_remembered
4,2049,29156,natural,new,correctreject,na
5,2040,30848,natural,new,correctreject,subsequent_forgotten
6,1049,32571,manmade,new,correctreject,na
7,1041,34700.5,manmade,new,correctreject,subsequent_remembered
8,2049,36359.5,natural,new,correctreject,na
9,1041,37752,manmade,new,correctreject,subsequent_remembered
10,1049,39349,manmade,new,correctreject,na
11,2040,41085.5,natural,new,correctreject,subsequent_forgotten
12,2049,42748.5,natural,new,correctreject,na
13,1041,44387,manmade,new,correctreject,subsequent_remembered
14,1049,46608.5,manmade,new,correctreject,na
15,1040,47972.5,manmade,new,correctreject,subsequent_forgotten
16,1049,50438,manmade,new,correctreject,na
17,1121,51945.5,manmade,old,miss,subsequent_remembered
18,2041,53382,natural,new,correctreject,subsequent_remembered
19,1111,55040.5,manmade,old,hit,subsequent_remembered
20,2049,56591.5,natural,new,correctreject,na
21,2041,58785.5,natural,new,correctreject,subsequent_remembered
22,2049,60180.5,natural,new,correctreject,na
23,2041,61701,natural,new,correctreject,subsequent_remembered
24,1049,63134.5,manmade,new,correctreject,na
25,2040,65008,natural,new,correctreject,subsequent_forgotten
26,1049,66713,manmade,new,correctreject,na
27,2121,68353,natural,old,miss,subsequent_remembered
28,2031,70609,natural,new,falsealarm,subsequent_remembered
29,2121,72040,natural,old,miss,subsequent_remembered
30,1049,74192.5,manmade,new,correctreject,na
31,1111,75725.5,manmade,old,hit,subsequent_remembered
32,2040,77310.5,natural,new,correctreject,subsequent_forgotten
33,1119,79389.5,manmade,old,hit,na
34,2111,81575,natural,old,hit,subsequent_remembered
35,2049,83710,natural,new,correctreject,na
36,1040,86254.5,manmade,new,correctreject,subsequent_forgotten
37,1111,88057,manmade,old,hit,subsequent_remembered
38,1049,89618,manmade,new,correctreject,na
39,1031,91247,manmade,new,falsealarm,subsequent_remembered
40,1049,92792,manmade,new,correctreject,na
41,2041,94358.5,natural,new,correctreject,subsequent_remembered
42,1049,96334.5,manmade,new,correctreject,na
43,2041,97865.5,natural,new,correctreject,subsequent_remembered
44,2119,99867,natural,old,hit,na
45,2119,101133.5,natural,old,hit,na
46,1121,102693,manmade,old,miss,subsequent_remembered
47,1119,104869,manmade,old,hit,na
48,2039,106102.5,natural,new,falsealarm,na
49,2041,107828,natural,new,correctreject,subsequent_remembered
50,1049,109236,manmade,new,correctreject,na
51,2119,110828,natural,old,hit,na
52,1041,112338,manmade,new,correctreject,subsequent_remembered
53,1121,114176,manmade,old,miss,subsequent_remembered
54,1049,115753,manmade,new,correctreject,na
55,2031,116961,natural,new,falsealarm,subsequent_remembered
56,1049,118661,manmade,new,correctreject,na
57,1119,120422,manmade,old,hit,na
58,1041,122039.5,manmade,new,correctreject,subsequent_remembered
59,2039,123396.5,natural,new,falsealarm,na
60,1041,124661,manmade,new,correctreject,subsequent_remembered
61,2111,126186.5,natural,old,hit,subsequent_remembered
62,1119,128121.5,manmade,old,hit,na
63,2111,129509,natural,old,hit,subsequent_remembered
64,2049,131075.5,natural,new,correctreject,na
65,2111,132406.5,natural,old,hit,subsequent_remembered
66,1041,133661,manmade,new,correctreject,subsequent_remembered
67,2111,135023,natural,old,hit,subsequent_remembered
68,1049,136635.5,manmade,new,correctreject,na
69,2040,137751.5,natural,new,correctreject,subsequent_forgotten
70,1111,139558.5,manmade,old,hit,subsequent_remembered
71,2119,140910.5,natural,old,hit,na
72,1049,142759,manmade,new,correctreject,na
73,2111,144617,natural,old,hit,subsequent_remembered
74,2041,146531.5,natural,new,correctreject,subsequent_remembered
75,2039,148625.5,natural,new,falsealarm,na
76,1110,150289,manmade,old,hit,subsequent_forgotten
77,1041,151876.5,manmade,new,correctreject,subsequent_remembered
78,2049,154078.5,natural,new,correctreject,na
79,2111,155536.5,natural,old,hit,subsequent_remembered
80,1041,157031.5,manmade,new,correctreject,subsequent_remembered
81,2111,158777.5,natural,old,hit,subsequent_remembered
82,1049,160605,manmade,new,correctreject,na
83,2041,162581,natural,new,correctreject,subsequent_remembered
84,1049,164517,manmade,new,correctreject,na
85,2120,166287.5,natural,old,miss,subsequent_forgotten
86,1041,167933,manmade,new,correctreject,subsequent_remembered
87,2119,169456.5,natural,old,hit,na
88,2111,170731.5,natural,old,hit,subsequent_remembered
89,2119,172201,natural,old,hit,na
90,2111,173598.5,natural,old,hit,subsequent_remembered
91,1119,175067.5,manmade,old,hit,na
92,2121,177228,natural,old,miss,subsequent_remembered
93,2110,179373,natural,old,hit,subsequent_forgotten
94,1039,180993.5,manmade,new,falsealarm,na
95,1040,182450,manmade,new,correctreject,subsequent_forgotten
96,1111,184151.5,manmade,old,hit,subsequent_remembered
97,1119,185680.5,manmade,old,hit,na
98,1049,187042,manmade,new,correctreject,na
99,1111,188470.5,manmade,old,hit,subsequent_remembered
100,2119,190600.5,natural,old,hit,na
101,1110,192735,manmade,old,hit,subsequent_forgotten
102,2041,194594,natural,new,correctreject,subsequent_remembered
103,2119,195858,natural,old,hit,na
104,1111,197793.5,manmade,old,hit,subsequent_remembered
105,2119,199651.5,natural,old,hit,na
106,1119,201013.5,manmade,old,hit,na
107,2121,202360,natural,old,miss,subsequent_remembered
108,1119,204008.5,manmade,old,hit,na
109,2129,206066.5,natural,old,miss,na
110,1111,207962.5,manmade,old,hit,subsequent_remembered
111,2119,209588.5,natural,old,hit,na
112,2119,211426.5,natural,old,hit,na
113,2039,213361.5,natural,new,falsealarm,na
114,1119,214923.5,manmade,old,hit,na
115,1040,216515.5,manmade,new,correctreject,subsequent_forgotten
116,2119,218155,natural,old,hit,na
117,2049,220350,natural,new,correctreject,na
118,2041,221703.5,natural,new,correctreject,subsequent_remembered
119,1049,223109.5,manmade,new,correctreject,na
120,1119,224686,manmade,old,hit,na
121,1041,226181,manmade,new,correctreject,subsequent_remembered
122,2049,228347,natural,new,correctreject,na
123,1119,229672.5,manmade,old,hit,na
124,1041,231008.5,manmade,new,correctreject,subsequent_remembered
125,1049,232424,manmade,new,correctreject,na
126,1041,234357,manmade,new,correctreject,subsequent_remembered
