trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1041,11205.5,manmade,new,correctreject,subsequent_remembered
2,2049,13166.5,natural,new,correctreject,na
3,2040,14902,natural,new,correctreject,subsequent_forgotten
4,1049,16796,manmade,new,correctreject,na
5,1040,18798.5,manmade,new,correctreject,subsequent_forgotten
6,2049,20241.5,natural,new,correctreject,na
7,1040,22125.5,manmade,new,correctreject,subsequent_forgotten
8,1049,23134,manmade,new,correctreject,na
9,1040,24593,manmade,new,correctreject,subsequent_forgotten
10,2049,25591.5,natural,new,correctreject,na
11,1111,26548.5,manmade,old,hit,subsequent_remembered
12,2041,28028,natural,new,correctreject,subsequent_remembered
13,2049,29707.5,natural,new,correctreject,na
14,1040,30833.5,manmade,new,correctreject,subsequent_forgotten
15,2049,32461.5,natural,new,correctreject,na
16,2040,33406,natural,new,correctreject,subsequent_forgotten
17,1121,35241.5,manmade,old,miss,subsequent_remembered
18,2049,36727,natural,new,correctreject,na
19,2121,37873,natural,old,miss,subsequent_remembered
20,1040,38958.5,manmade,new,correctreject,subsequent_forgotten
21,1049,39956.5,manmade,new,correctreject,na
22,2110,41267.5,natural,old,hit,subsequent_forgotten
23,2030,42322,natural,new,falsealarm,subsequent_forgotten
24,1049,44124,manmade,new,correctreject,na
25,1120,45465.5,manmade,old,miss,subsequent_forgotten
26,1040,46417.5,manmade,new,correctreject,subsequent_forgotten
27,1119,47572,manmade,old,hit,na
28,1049,48834,manmade,new,correctreject,na
29,1041,50149.5,manmade,new,correctreject,subsequent_remembered
30,1120,51342.5,manmade,old,miss,subsequent_forgotten
31,1049,52444,manmade,new,correctreject,na
32,1040,54091.5,manmade,new,correctreject,subsequent_forgotten
33,1049,55412.5,manmade,new,correctreject,na
34,2041,56694,natural,new,correctreject,subsequent_remembered
35,2119,57783,natural,old,hit,na
36,2049,58945,natural,new,correctreject,na
37,1040,60427,manmade,new,correctreject,subsequent_forgotten
38,2129,62062.5,natural,old,miss,na
39,2049,63616.5,natural,new,correctreject,na
40,1040,64694,manmade,new,correctreject,subsequent_forgotten
41,1119,66117.5,manmade,old,hit,na
42,1049,68022,manmade,new,correctreject,na
43,2031,69209.5,natural,new,falsealarm,subsequent_remembered
44,1121,70878.5,manmade,old,miss,subsequent_remembered
45,1049,72496.5,manmade,new,correctreject,na
46,1040,73674,manmade,new,correctreject,subsequent_forgotten
47,2120,74948.5,natural,old,miss,subsequent_forgotten
48,2049,76010.5,natural,new,correctreject,na
49,2041,77738.5,natural,new,correctreject,subsequent_remembered
50,1120,78819,manmade,old,miss,subsequent_forgotten
51,2049,79945,natural,new,correctreject,na
52,2041,81015,natural,new,correctreject,subsequent_remembered
53,2049,82848,natural,new,correctreject,na
54,2041,84518,natural,new,correctreject,subsequent_remembered
55,1049,85653.5,manmade,new,correctreject,na
56,1120,86964,manmade,old,miss,subsequent_forgotten
57,2129,87947,natural,old,miss,na
58,1041,89401,manmade,new,correctreject,subsequent_remembered
59,1049,90389,manmade,new,correctreject,na
60,2040,91863.5,natural,new,correctreject,subsequent_forgotten
61,1120,93722,manmade,old,miss,subsequent_forgotten
62,2039,95022,natural,new,falsealarm,na
63,2041,96307,natural,new,correctreject,subsequent_remembered
64,1121,97745.5,manmade,old,miss,subsequent_remembered
65,1120,98746,manmade,old,miss,subsequent_forgotten
66,1129,99788.5,manmade,old,miss,na
67,1049,100798.5,manmade,new,correctreject,na
68,1129,102507,manmade,old,miss,na
69,2040,103571.5,natural,new,correctreject,subsequent_forgotten
70,2049,105084.5,natural,new,correctreject,na
71,1129,107923.5,manmade,old,miss,na
72,2110,109220.5,natural,old,hit,subsequent_forgotten
73,2110,110918,natural,old,hit,subsequent_forgotten
74,2030,112377.5,natural,new,falsealarm,subsequent_forgotten
75,1049,113810.5,manmade,new,correctreject,na
76,2121,115177.5,natural,old,miss,subsequent_remembered
77,2040,116201.5,natural,new,correctreject,subsequent_forgotten
78,1049,117278.5,manmade,new,correctreject,na
79,2121,118389.5,natural,old,miss,subsequent_remembered
80,1031,120010.5,manmade,new,falsealarm,subsequent_remembered
81,1129,121039.5,manmade,old,miss,na
82,1119,122422,manmade,old,hit,na
83,1039,123865.5,manmade,new,falsealarm,na
84,1121,124945.5,manmade,old,miss,subsequent_remembered
85,1129,126451,manmade,old,miss,na
86,2119,128202.5,natural,old,hit,na
87,2111,129988.5,natural,old,hit,subsequent_remembered
88,1030,131125,manmade,new,falsealarm,subsequent_forgotten
89,1110,132558.5,manmade,old,hit,subsequent_forgotten
90,2110,133679.5,natural,old,hit,subsequent_forgotten
91,1039,134847.5,manmade,new,falsealarm,na
92,2110,136029.5,natural,old,hit,subsequent_forgotten
93,1031,137181.5,manmade,new,falsealarm,subsequent_remembered
94,1039,138525,manmade,new,falsealarm,na
95,1031,139654,manmade,new,falsealarm,subsequent_remembered
96,1111,140949,manmade,old,hit,subsequent_remembered
97,2119,143038,natural,old,hit,na
98,2120,144374,natural,old,miss,subsequent_forgotten
99,2039,145833.5,natural,new,falsealarm,na
100,1119,147105.5,manmade,old,hit,na
101,1031,149970,manmade,new,falsealarm,subsequent_remembered
102,1119,151408.5,manmade,old,hit,na
103,2111,152514,natural,old,hit,subsequent_remembered
104,2039,153825,natural,new,falsealarm,na
105,1111,155506.5,manmade,old,hit,subsequent_remembered
106,2031,157229.5,natural,new,falsealarm,subsequent_remembered
107,1039,159768.5,manmade,new,falsealarm,na
108,1041,161591,manmade,new,correctreject,subsequent_remembered
109,2049,162840.5,natural,new,correctreject,na
110,1031,164095.5,manmade,new,falsealarm,subsequent_remembered
111,2049,165646,natural,new,correctreject,na
112,2121,166951,natural,old,miss,subsequent_remembered
113,2041,168748,natural,new,correctreject,subsequent_remembered
114,2129,170187,natural,old,miss,na
115,2049,171487,natural,new,correctreject,na
116,1129,172685,manmade,old,miss,na
117,1111,174304.5,manmade,old,hit,subsequent_remembered
118,1110,175516,manmade,old,hit,subsequent_forgotten
119,2119,176796,natural,old,hit,na
120,1110,177894,manmade,old,hit,subsequent_forgotten
121,2031,178961.5,natural,new,falsealarm,subsequent_remembered
122,2111,180825,natural,old,hit,subsequent_remembered
123,2111,182074.5,natural,old,hit,subsequent_remembered
124,1111,183477,manmade,old,hit,subsequent_remembered
125,2039,184721,natural,new,falsealarm,na
126,2040,186241.5,natural,new,correctreject,subsequent_forgotten
127,1129,187624,manmade,old,miss,na
128,2119,189072.5,natural,old,hit,na
129,1049,190772.5,manmade,new,correctreject,na
130,2041,192349,natural,new,correctreject,subsequent_remembered
131,1049,193706,manmade,new,correctreject,na
132,2129,195085.5,natural,old,miss,na
133,2129,196087.5,natural,old,miss,na
134,1129,197729.5,manmade,old,miss,na
135,2041,198943,natural,new,correctreject,subsequent_remembered
136,1049,200361,manmade,new,correctreject,na
137,2120,201774,natural,old,miss,subsequent_forgotten
138,2040,203284.5,natural,new,correctreject,subsequent_forgotten
139,2119,204433.5,natural,old,hit,na
140,1119,205654.5,manmade,old,hit,na
141,2039,207052.5,natural,new,falsealarm,na
142,2121,208288,natural,old,miss,subsequent_remembered
143,1119,209253.5,manmade,old,hit,na
144,1031,210636,manmade,new,falsealarm,subsequent_remembered
145,2049,211672,natural,new,correctreject,na
146,1030,213581.5,manmade,new,falsealarm,subsequent_forgotten
147,2129,214962,natural,old,miss,na
148,1121,216702.5,manmade,old,miss,subsequent_remembered
