trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1090,168078,manmade,new,na,subsequent_forgotten
2,2039,169527.5,natural,new,falsealarm,na
3,2041,170711.5,natural,new,correctreject,subsequent_remembered
4,1049,174218.5,manmade,new,correctreject,na
5,1041,176101.5,manmade,new,correctreject,subsequent_remembered
6,1049,177543,manmade,new,correctreject,na
7,1041,178921.5,manmade,new,correctreject,subsequent_remembered
8,2049,180661.5,natural,new,correctreject,na
9,2040,182030.5,natural,new,correctreject,subsequent_forgotten
10,1049,183418.5,manmade,new,correctreject,na
11,1041,185225.5,manmade,new,correctreject,subsequent_remembered
12,2049,186809.5,natural,new,correctreject,na
13,1041,188334,manmade,new,correctreject,subsequent_remembered
14,2049,189420.5,natural,new,correctreject,na
15,1030,190871,manmade,new,falsealarm,subsequent_forgotten
16,2049,192213.5,natural,new,correctreject,na
17,1041,193647,manmade,new,correctreject,subsequent_remembered
18,1049,195863,manmade,new,correctreject,na
19,2041,197756,natural,new,correctreject,subsequent_remembered
20,1049,199208.5,manmade,new,correctreject,na
21,2041,200874.5,natural,new,correctreject,subsequent_remembered
22,1049,202687,manmade,new,correctreject,na
23,1031,204491.5,manmade,new,falsealarm,subsequent_remembered
24,1049,206223.5,manmade,new,correctreject,na
25,2121,208045,natural,old,miss,subsequent_remembered
26,2041,210096.5,natural,new,correctreject,subsequent_remembered
27,1111,211869.5,manmade,old,hit,subsequent_remembered
28,1049,213407.5,manmade,new,correctreject,na
29,1111,214894,manmade,old,hit,subsequent_remembered
30,2041,217058,natural,new,correctreject,subsequent_remembered
31,2049,218978,natural,new,correctreject,na
32,2030,220649.5,natural,new,falsealarm,subsequent_forgotten
33,1111,222931,manmade,old,hit,subsequent_remembered
34,1049,224791,manmade,new,correctreject,na
35,2110,226232,natural,old,hit,subsequent_forgotten
36,1040,228660.5,manmade,new,correctreject,subsequent_forgotten
37,2111,230570.5,natural,old,hit,subsequent_remembered
38,1039,232675.5,manmade,new,falsealarm,na
39,1120,234124.5,manmade,old,miss,subsequent_forgotten
40,2040,235477,natural,new,correctreject,subsequent_forgotten
41,2111,237212,natural,old,hit,subsequent_remembered
42,1049,238962,manmade,new,correctreject,na
43,1111,240599,manmade,old,hit,subsequent_remembered
44,1041,242807.5,manmade,new,correctreject,subsequent_remembered
45,1111,244493,manmade,old,hit,subsequent_remembered
46,1049,246847,manmade,new,correctreject,na
47,2119,248406,natural,old,hit,na
48,2041,249960,natural,new,correctreject,subsequent_remembered
49,2119,251897.5,natural,old,hit,na
50,2111,253740,natural,old,hit,subsequent_remembered
51,1119,255261.5,manmade,old,hit,na
52,1049,256559,manmade,new,correctreject,na
