trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2041,14439.5,natural,new,correctreject,subsequent_remembered
2,2049,15862,natural,new,correctreject,na
3,1040,17039.5,manmade,new,correctreject,subsequent_forgotten
4,2049,18406.5,natural,new,correctreject,na
5,2040,20080.5,natural,new,correctreject,subsequent_forgotten
6,1049,21546,manmade,new,correctreject,na
7,2041,22568.5,natural,new,correctreject,subsequent_remembered
8,2049,23561.5,natural,new,correctreject,na
9,2040,24652,natural,new,correctreject,subsequent_forgotten
10,1049,26029,manmade,new,correctreject,na
11,1040,27816,manmade,new,correctreject,subsequent_forgotten
12,1049,29474.5,manmade,new,correctreject,na
13,1040,30647,manmade,new,correctreject,subsequent_forgotten
14,2049,32060,natural,new,correctreject,na
15,2121,33378,natural,old,miss,subsequent_remembered
16,1041,35341.5,manmade,new,correctreject,subsequent_remembered
17,2111,37144,natural,old,hit,subsequent_remembered
18,1049,39232.5,manmade,new,correctreject,na
19,1121,40742.5,manmade,old,miss,subsequent_remembered
20,2040,42621.5,natural,new,correctreject,subsequent_forgotten
21,2049,43783.5,natural,new,correctreject,na
22,1040,45130,manmade,new,correctreject,subsequent_forgotten
23,2111,46379,natural,old,hit,subsequent_remembered
24,2049,47710.5,natural,new,correctreject,na
25,2119,49138.5,natural,old,hit,na
26,1040,50736.5,manmade,new,correctreject,subsequent_forgotten
27,2119,51944,natural,old,hit,na
28,1049,53710.5,manmade,new,correctreject,na
29,2031,54872.5,natural,new,falsealarm,subsequent_remembered
30,1049,56357,manmade,new,correctreject,na
31,1041,58052,manmade,new,correctreject,subsequent_remembered
32,2049,59705.5,natural,new,correctreject,na
33,1041,60903.5,manmade,new,correctreject,subsequent_remembered
34,1049,62357.5,manmade,new,correctreject,na
35,1041,64062,manmade,new,correctreject,subsequent_remembered
36,2120,65362.5,natural,old,miss,subsequent_forgotten
37,2049,66791,natural,new,correctreject,na
38,2031,68219,natural,new,falsealarm,subsequent_remembered
39,2110,69704,natural,old,hit,subsequent_forgotten
40,1111,71373,manmade,old,hit,subsequent_remembered
41,1111,73364.5,manmade,old,hit,subsequent_remembered
42,2039,74511,natural,new,falsealarm,na
43,1111,76913.5,manmade,old,hit,subsequent_remembered
44,2041,78883,natural,new,correctreject,subsequent_remembered
45,2049,80150,natural,new,correctreject,na
46,1121,81960,manmade,old,miss,subsequent_remembered
47,2041,83342.5,natural,new,correctreject,subsequent_remembered
48,2111,85441,natural,old,hit,subsequent_remembered
49,1121,87381.5,manmade,old,miss,subsequent_remembered
50,1049,88748.5,manmade,new,correctreject,na
51,1121,89910.5,manmade,old,miss,subsequent_remembered
52,2041,91299.5,natural,new,correctreject,subsequent_remembered
53,1119,93151,manmade,old,hit,na
54,1049,94303,manmade,new,correctreject,na
55,2041,95649.5,natural,new,correctreject,subsequent_remembered
56,2049,97108.5,natural,new,correctreject,na
57,1119,98388.5,manmade,old,hit,na
58,2041,99663,natural,new,correctreject,subsequent_remembered
59,1049,101042.5,manmade,new,correctreject,na
60,2129,102125.5,natural,old,miss,na
61,2031,104292,natural,new,falsealarm,subsequent_remembered
62,2111,106124,natural,old,hit,subsequent_remembered
