trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2040,92490.5,natural,new,correctreject,subsequent_forgotten
2,1049,93727,manmade,new,correctreject,na
3,2041,95232.5,natural,new,correctreject,subsequent_remembered
4,2049,96427.5,natural,new,correctreject,na
5,1041,97991.5,manmade,new,correctreject,subsequent_remembered
6,1049,99266.5,manmade,new,correctreject,na
7,2041,100295.5,natural,new,correctreject,subsequent_remembered
8,2049,101406.5,natural,new,correctreject,na
9,2041,103029.5,natural,new,correctreject,subsequent_remembered
10,2049,104176,natural,new,correctreject,na
11,1041,105369,manmade,new,correctreject,subsequent_remembered
12,1049,106471,manmade,new,correctreject,na
13,2111,107621.5,natural,old,hit,subsequent_remembered
14,2041,108722,natural,new,correctreject,subsequent_remembered
15,1111,109766.5,manmade,old,hit,subsequent_remembered
16,2049,111215.5,natural,new,correctreject,na
17,2120,112940.5,natural,old,miss,subsequent_forgotten
18,2040,114440.5,natural,new,correctreject,subsequent_forgotten
19,2039,115500.5,natural,new,falsealarm,na
20,2040,117353.5,natural,new,correctreject,subsequent_forgotten
21,2049,118659,natural,new,correctreject,na
22,1041,120087.5,manmade,new,correctreject,subsequent_remembered
23,2119,121331.5,natural,old,hit,na
24,1049,122570.5,manmade,new,correctreject,na
25,1040,124316,manmade,new,correctreject,subsequent_forgotten
26,1049,125811,manmade,new,correctreject,na
27,2031,126840,natural,new,falsealarm,subsequent_remembered
28,1049,128076,manmade,new,correctreject,na
29,2031,129799,natural,new,falsealarm,subsequent_remembered
30,2120,130992,natural,old,miss,subsequent_forgotten
31,1049,132543.5,manmade,new,correctreject,na
32,1111,133767,manmade,old,hit,subsequent_remembered
33,2111,135574,natural,old,hit,subsequent_remembered
34,2031,137670.5,natural,new,falsealarm,subsequent_remembered
35,2049,138773.5,natural,new,correctreject,na
36,2041,140156,natural,new,correctreject,subsequent_remembered
37,2110,141415.5,natural,old,hit,subsequent_forgotten
38,2111,142526.5,natural,old,hit,subsequent_remembered
39,2039,144210.5,natural,new,falsealarm,na
40,2030,145516,natural,new,falsealarm,subsequent_forgotten
41,2049,146637.5,natural,new,correctreject,na
42,2041,147878.5,natural,new,correctreject,subsequent_remembered
43,2119,149094.5,natural,old,hit,na
44,2111,150333.5,natural,old,hit,subsequent_remembered
45,1049,151793.5,manmade,new,correctreject,na
46,2129,153298,natural,old,miss,na
47,1030,154531.5,manmade,new,falsealarm,subsequent_forgotten
48,1119,155934.5,manmade,old,hit,na
49,1110,157040,manmade,old,hit,subsequent_forgotten
50,1049,158434,manmade,new,correctreject,na
51,2041,159656,natural,new,correctreject,subsequent_remembered
52,1049,161489,manmade,new,correctreject,na
53,1119,163265.5,manmade,old,hit,na
54,1041,164417.5,manmade,new,correctreject,subsequent_remembered
55,2129,166439.5,natural,old,miss,na
56,2039,167919,natural,new,falsealarm,na
57,1031,169102,manmade,new,falsealarm,subsequent_remembered
58,2110,170427.5,natural,old,hit,subsequent_forgotten
59,1129,171776,manmade,old,miss,na
60,1049,173392,manmade,new,correctreject,na
61,2111,174426,natural,old,hit,subsequent_remembered
62,1031,175987.5,manmade,new,falsealarm,subsequent_remembered
63,1121,177610.5,manmade,old,miss,subsequent_remembered
64,2121,179363,natural,old,miss,subsequent_remembered
65,1049,180641,manmade,new,correctreject,na
66,2041,181864.5,natural,new,correctreject,subsequent_remembered
67,2111,182992.5,natural,old,hit,subsequent_remembered
68,1039,184322,manmade,new,falsealarm,na
69,1041,185714.5,manmade,new,correctreject,subsequent_remembered
70,1110,186754,manmade,old,hit,subsequent_forgotten
71,2119,188566,natural,old,hit,na
72,2039,190552.5,natural,new,falsealarm,na
73,2031,192103.5,natural,new,falsealarm,subsequent_remembered
74,2129,193629.5,natural,old,miss,na
75,2129,195016.5,natural,old,miss,na
76,2119,196721.5,natural,old,hit,na
77,2039,198063,natural,new,falsealarm,na
78,2121,199629.5,natural,old,miss,subsequent_remembered
79,2040,201636.5,natural,new,correctreject,subsequent_forgotten
80,1129,202814,manmade,old,miss,na
81,2039,204134.5,natural,new,falsealarm,na
82,2119,205532,natural,old,hit,na
83,2040,207283,natural,new,correctreject,subsequent_forgotten
84,1049,208440,manmade,new,correctreject,na
85,1111,210841,manmade,old,hit,subsequent_remembered
86,1041,212696.5,manmade,new,correctreject,subsequent_remembered
87,1119,213774.5,manmade,old,hit,na
88,2119,215239,natural,old,hit,na
89,2110,217015.5,natural,old,hit,subsequent_forgotten
90,2111,218612.5,natural,old,hit,subsequent_remembered
91,1049,220102.5,manmade,new,correctreject,na
92,2041,222314,natural,new,correctreject,subsequent_remembered
93,1049,223728.5,manmade,new,correctreject,na
94,2119,225068.5,natural,old,hit,na
95,1111,226517,manmade,old,hit,subsequent_remembered
96,2111,227848,natural,old,hit,subsequent_remembered
97,2111,228918,natural,old,hit,subsequent_remembered
98,2040,230225,natural,new,correctreject,subsequent_forgotten
99,2039,232097.5,natural,new,falsealarm,na
100,1111,233305.5,manmade,old,hit,subsequent_remembered
101,2031,236234,natural,new,falsealarm,subsequent_remembered
102,1039,237370.5,manmade,new,falsealarm,na
103,2031,238573.5,natural,new,falsealarm,subsequent_remembered
104,2039,240611,natural,new,falsealarm,na
105,2040,241758,natural,new,correctreject,subsequent_forgotten
106,2119,243570,natural,old,hit,na
107,1121,244901.5,manmade,old,miss,subsequent_remembered
108,2111,245853.5,natural,old,hit,subsequent_remembered
109,2039,247636,natural,new,falsealarm,na
110,2031,249585.5,natural,new,falsealarm,subsequent_remembered
111,2110,251190,natural,old,hit,subsequent_forgotten
112,1049,252478,manmade,new,correctreject,na
113,2129,253778.5,natural,old,miss,na
114,2119,255498.5,natural,old,hit,na
115,2121,256804,natural,old,miss,subsequent_remembered
116,1119,258926,manmade,old,hit,na
117,2129,260306,natural,old,miss,na
118,1041,261391.5,manmade,new,correctreject,subsequent_remembered
119,2111,263321.5,natural,old,hit,subsequent_remembered
120,1039,264755,manmade,new,falsealarm,na
121,2120,265835,natural,old,miss,subsequent_forgotten
122,2030,266988,natural,new,falsealarm,subsequent_forgotten
123,1119,268753,manmade,old,hit,na
124,2119,270826.5,natural,old,hit,na
125,2119,272854,natural,old,hit,na
126,2111,274396,natural,old,hit,subsequent_remembered
127,2119,275772,natural,old,hit,na
128,1039,276913.5,manmade,new,falsealarm,na
129,2119,278195.5,natural,old,hit,na
130,2041,279483.5,natural,new,correctreject,subsequent_remembered
131,1119,280589.5,manmade,old,hit,na
132,1049,281953.5,manmade,new,correctreject,na
133,1119,283538.5,manmade,old,hit,na
134,1030,284613.5,manmade,new,falsealarm,subsequent_forgotten
135,1039,285898.5,manmade,new,falsealarm,na
136,2120,287347,natural,old,miss,subsequent_forgotten
137,1041,288793,manmade,new,correctreject,subsequent_remembered
138,2121,290122,natural,old,miss,subsequent_remembered
139,2049,291688.5,natural,new,correctreject,na
140,2110,293204,natural,old,hit,subsequent_forgotten
141,2041,294437.5,natural,new,correctreject,subsequent_remembered
142,1049,295779,manmade,new,correctreject,na
143,1041,297253.5,manmade,new,correctreject,subsequent_remembered
144,1121,298856,manmade,old,miss,subsequent_remembered
145,2049,300289.5,natural,new,correctreject,na
146,1111,301487.5,manmade,old,hit,subsequent_remembered
147,1040,303141,manmade,new,correctreject,subsequent_forgotten
148,2049,304538.5,natural,new,correctreject,na
149,2129,305987.5,natural,old,miss,na
150,2119,307958.5,natural,old,hit,na
151,2040,309516.5,natural,new,correctreject,subsequent_forgotten
152,2049,310820,natural,new,correctreject,na
153,1111,312243.5,manmade,old,hit,subsequent_remembered
154,2119,313405.5,natural,old,hit,na
155,2199,314859.5,natural,old,na,na
156,1110,317317,manmade,old,hit,subsequent_forgotten
157,2119,318924.5,natural,old,hit,na
158,2041,320096.5,natural,new,correctreject,subsequent_remembered
159,1111,321388,manmade,old,hit,subsequent_remembered
160,1119,322585,manmade,old,hit,na
161,1039,324136,manmade,new,falsealarm,na
162,2031,325479.5,natural,new,falsealarm,subsequent_remembered
163,2039,326859.5,natural,new,falsealarm,na
164,2030,328370,natural,new,falsealarm,subsequent_forgotten
165,2111,330259,natural,old,hit,subsequent_remembered
166,2049,331487.5,natural,new,correctreject,na
167,2041,332542.5,natural,new,correctreject,subsequent_remembered
168,2049,333981,natural,new,correctreject,na
169,1040,335235,manmade,new,correctreject,subsequent_forgotten
170,1049,336392,manmade,new,correctreject,na
171,2040,337718,natural,new,correctreject,subsequent_forgotten
172,2111,338978.5,natural,old,hit,subsequent_remembered
173,1049,340590,manmade,new,correctreject,na
174,1041,342312.5,manmade,new,correctreject,subsequent_remembered
175,2049,343349.5,natural,new,correctreject,na
176,2041,344583.5,natural,new,correctreject,subsequent_remembered
177,2111,345561,natural,old,hit,subsequent_remembered
178,1049,346779.5,manmade,new,correctreject,na
179,2040,347793.5,natural,new,correctreject,subsequent_forgotten
180,1129,349059,manmade,old,miss,na
181,2129,350652,natural,old,miss,na
182,2119,352421.5,natural,old,hit,na
183,2049,353435,natural,new,correctreject,na
184,1119,354479.5,manmade,old,hit,na
185,1121,355882,manmade,old,miss,subsequent_remembered
186,1030,357397.5,manmade,new,falsealarm,subsequent_forgotten
187,2121,358580,natural,old,miss,subsequent_remembered
188,1039,360489.5,manmade,new,falsealarm,na
189,2031,361759.5,natural,new,falsealarm,subsequent_remembered
190,1111,362870.5,manmade,old,hit,subsequent_remembered
191,2039,364125,natural,new,falsealarm,na
192,2030,366095.5,natural,new,falsealarm,subsequent_forgotten
193,1120,367693,manmade,old,miss,subsequent_forgotten
194,1049,369418,manmade,new,correctreject,na
195,2041,370810.5,natural,new,correctreject,subsequent_remembered
196,2129,371906,natural,old,miss,na
197,1119,373042.5,manmade,old,hit,na
198,1039,374758,manmade,new,falsealarm,na
199,2031,376104,natural,new,falsealarm,subsequent_remembered
200,2129,378316,natural,old,miss,na
201,1119,380932,manmade,old,hit,na
202,2049,381973.5,natural,new,correctreject,na
203,2119,383824.5,natural,old,hit,na
204,2040,385275.5,natural,new,correctreject,subsequent_forgotten
205,2110,386611.5,natural,old,hit,subsequent_forgotten
206,2039,387782,natural,new,falsealarm,na
207,1040,389404.5,manmade,new,correctreject,subsequent_forgotten
208,1049,390792,manmade,new,correctreject,na
209,2041,392184.5,natural,new,correctreject,subsequent_remembered
210,1120,393218.5,manmade,old,miss,subsequent_forgotten
211,2121,394499.5,natural,old,miss,subsequent_remembered
212,2039,395901.5,natural,new,falsealarm,na
213,1119,397498.5,manmade,old,hit,na
214,2031,398855.5,natural,new,falsealarm,subsequent_remembered
215,2111,400319.5,natural,old,hit,subsequent_remembered
216,2121,401497,natural,old,miss,subsequent_remembered
217,2121,403391,natural,old,miss,subsequent_remembered
218,2110,404865.5,natural,old,hit,subsequent_forgotten
219,1039,406673,manmade,new,falsealarm,na
220,1129,408434,manmade,old,miss,na
221,1040,409673,manmade,new,correctreject,subsequent_forgotten
222,1049,410917,manmade,new,correctreject,na
223,2040,412227.5,natural,new,correctreject,subsequent_forgotten
224,2121,413453.5,natural,old,miss,subsequent_remembered
225,2119,414756.5,natural,old,hit,na
226,2119,416246.5,natural,old,hit,na
227,1049,417879.5,manmade,new,correctreject,na
228,1119,418913.5,manmade,old,hit,na
229,2040,420864,natural,new,correctreject,subsequent_forgotten
230,1049,422533,manmade,new,correctreject,na
231,2040,424489,natural,new,correctreject,subsequent_forgotten
232,1049,425871,manmade,new,correctreject,na
233,2111,427701,natural,old,hit,subsequent_remembered
234,1030,429035,manmade,new,falsealarm,subsequent_forgotten
235,2119,430391.5,natural,old,hit,na
236,2110,431836,natural,old,hit,subsequent_forgotten
237,2119,436701,natural,old,hit,na
238,2111,438106.5,natural,old,hit,subsequent_remembered
239,2121,439432.5,natural,old,miss,subsequent_remembered
240,2049,440805.5,natural,new,correctreject,na
241,2119,441964,natural,old,hit,na
242,2041,443339,natural,new,correctreject,subsequent_remembered
243,2049,445306.5,natural,new,correctreject,na
244,2041,446441,natural,new,correctreject,subsequent_remembered
245,1121,447956.5,manmade,old,miss,subsequent_remembered
246,2129,449446.5,natural,old,miss,na
247,2119,450721,natural,old,hit,na
248,1039,451852.5,manmade,new,falsealarm,na
249,2119,453534,natural,old,hit,na
250,1041,454950,manmade,new,correctreject,subsequent_remembered
251,1049,456767.5,manmade,new,correctreject,na
252,2030,458789.5,natural,new,falsealarm,subsequent_forgotten
253,1129,460254.5,manmade,old,miss,na
254,2119,461820,natural,old,hit,na
255,2111,463525,natural,old,hit,subsequent_remembered
256,1049,465439.5,manmade,new,correctreject,na
257,1041,466676,manmade,new,correctreject,subsequent_remembered
258,1039,467784.5,manmade,new,falsealarm,na
259,1121,469622.5,manmade,old,miss,subsequent_remembered
260,1110,470974,manmade,old,hit,subsequent_forgotten
261,2031,472279.5,natural,new,falsealarm,subsequent_remembered
262,2119,473556,natural,old,hit,na
263,2119,474696,natural,old,hit,na
264,2121,475878.5,natural,old,miss,subsequent_remembered
265,2129,477703.5,natural,old,miss,na
266,2111,478829,natural,old,hit,subsequent_remembered
267,1049,479836,manmade,new,correctreject,na
268,2111,481305,natural,old,hit,subsequent_remembered
269,2121,482313.5,natural,old,miss,subsequent_remembered
270,1041,483455.5,manmade,new,correctreject,subsequent_remembered
271,2039,485001.5,natural,new,falsealarm,na
272,1121,486793.5,manmade,old,miss,subsequent_remembered
273,2040,488508.5,natural,new,correctreject,subsequent_forgotten
274,1049,489706,manmade,new,correctreject,na
275,1119,491697.5,manmade,old,hit,na
276,2031,492788,natural,new,falsealarm,subsequent_remembered
277,1039,494047.5,manmade,new,falsealarm,na
278,2129,495640,natural,old,miss,na
279,2040,497175.5,natural,new,correctreject,subsequent_forgotten
280,1049,498901,manmade,new,correctreject,na
281,2031,500104,natural,new,falsealarm,subsequent_remembered
282,1119,501404.5,manmade,old,hit,na
283,1119,502894,manmade,old,hit,na
284,1039,504261,manmade,new,falsealarm,na
285,2119,505628,natural,old,hit,na
286,1111,507052,manmade,old,hit,subsequent_remembered
287,1040,508761,manmade,new,correctreject,subsequent_forgotten
288,2119,510850,natural,old,hit,na
289,2121,512165.5,natural,old,miss,subsequent_remembered
290,2120,513276.5,natural,old,miss,subsequent_forgotten
291,1049,514788,manmade,new,correctreject,na
292,2041,516015.5,natural,new,correctreject,subsequent_remembered
293,2119,517367,natural,old,hit,na
294,2039,518515,natural,new,falsealarm,na
295,2030,519578.5,natural,new,falsealarm,subsequent_forgotten
296,2039,520592.5,natural,new,falsealarm,na
297,1031,521954,manmade,new,falsealarm,subsequent_remembered
298,1129,523305.5,manmade,old,miss,na
299,2111,524534.5,natural,old,hit,subsequent_remembered
300,2110,526303,natural,old,hit,subsequent_forgotten
301,2039,528881,natural,new,falsealarm,na
302,1119,530090,manmade,old,hit,na
303,1030,531425,manmade,new,falsealarm,subsequent_forgotten
304,2119,532797,natural,old,hit,na
305,2121,534297,natural,old,miss,subsequent_remembered
306,1049,535587.5,manmade,new,correctreject,na
307,1111,537312.5,manmade,old,hit,subsequent_remembered
308,1041,538495,manmade,new,correctreject,subsequent_remembered
309,1049,539585.5,manmade,new,correctreject,na
310,2129,540820.5,natural,old,miss,na
311,2121,542079,natural,old,miss,subsequent_remembered
312,1030,543302.5,manmade,new,falsealarm,subsequent_forgotten
313,2049,544738,natural,new,correctreject,na
314,2129,545923.5,natural,old,miss,na
315,2119,547106,natural,old,hit,na
316,2031,548746,natural,new,falsealarm,subsequent_remembered
317,1110,550587.5,manmade,old,hit,subsequent_forgotten
318,1111,551905,manmade,old,hit,subsequent_remembered
319,1121,552927,manmade,old,miss,subsequent_remembered
320,1039,554212,manmade,new,falsealarm,na
321,1041,555647,manmade,new,correctreject,subsequent_remembered
322,1121,556941,manmade,old,miss,subsequent_remembered
323,2119,558113,natural,old,hit,na
324,2039,559756.5,natural,new,falsealarm,na
325,1121,561092.5,manmade,old,miss,subsequent_remembered
326,2031,562219,natural,new,falsealarm,subsequent_remembered
327,2119,564318,natural,old,hit,na
328,2119,565582.5,natural,old,hit,na
329,2039,567390,natural,new,falsealarm,na
330,2111,568429,natural,old,hit,subsequent_remembered
331,1119,569949.5,manmade,old,hit,na
332,2041,571388,natural,new,correctreject,subsequent_remembered
333,2039,573169.5,natural,new,falsealarm,na
334,1041,574495.5,manmade,new,correctreject,subsequent_remembered
335,1119,575683.5,manmade,old,hit,na
336,2049,576902,natural,new,correctreject,na
337,1041,578458,manmade,new,correctreject,subsequent_remembered
338,1119,579999,manmade,old,hit,na
339,2120,581325,natural,old,miss,subsequent_forgotten
340,2119,582513,natural,old,hit,na
341,2111,583623.5,natural,old,hit,subsequent_remembered
342,2111,585289,natural,old,hit,subsequent_remembered
343,1119,586900,manmade,old,hit,na
344,2049,587970,natural,new,correctreject,na
345,1111,589808,manmade,old,hit,subsequent_remembered
346,2030,591615.5,natural,new,falsealarm,subsequent_forgotten
347,1039,592833.5,manmade,new,falsealarm,na
348,1040,593909,manmade,new,correctreject,subsequent_forgotten
349,2119,595613.5,natural,old,hit,na
350,2049,597303,natural,new,correctreject,na
351,1041,598736.5,manmade,new,correctreject,subsequent_remembered
352,2049,600508,natural,new,correctreject,na
353,1111,602562.5,manmade,old,hit,subsequent_remembered
354,2111,604281,natural,old,hit,subsequent_remembered
355,2030,605878,natural,new,falsealarm,subsequent_forgotten
356,2111,607086.5,natural,old,hit,subsequent_remembered
357,2119,608253.5,natural,old,hit,na
358,1111,609689,manmade,old,hit,subsequent_remembered
359,1049,611202.5,manmade,new,correctreject,na
360,2040,612339,natural,new,correctreject,subsequent_forgotten
361,1119,613503,manmade,old,hit,na
362,1039,614888.5,manmade,new,falsealarm,na
363,2129,616004.5,natural,old,miss,na
364,1040,617361.5,manmade,new,correctreject,subsequent_forgotten
365,2039,618492.5,natural,new,falsealarm,na
366,2119,619639.5,natural,old,hit,na
367,1111,620701.5,manmade,old,hit,subsequent_remembered
368,1119,621789.5,manmade,old,hit,na
369,2041,623182,natural,new,correctreject,subsequent_remembered
370,2039,624258,natural,new,falsealarm,na
371,2121,625532,natural,old,miss,subsequent_remembered
372,1121,626612.5,manmade,old,miss,subsequent_remembered
373,2041,628112.5,natural,new,correctreject,subsequent_remembered
374,2049,629791.5,natural,new,correctreject,na
375,2041,631881,natural,new,correctreject,subsequent_remembered
376,1049,633047.5,manmade,new,correctreject,na
377,1129,634542.5,manmade,old,miss,na
378,1119,636242,manmade,old,hit,na
379,2031,637773,natural,new,falsealarm,subsequent_remembered
380,1039,639677.5,manmade,new,falsealarm,na
381,2031,640808.5,natural,new,falsealarm,subsequent_remembered
382,1039,642063,manmade,new,falsealarm,na
383,1040,643819,manmade,new,correctreject,subsequent_forgotten
384,2121,645227,natural,old,miss,subsequent_remembered
385,2111,646404.5,natural,old,hit,subsequent_remembered
386,2039,648017,natural,new,falsealarm,na
387,2030,650008.5,natural,new,falsealarm,subsequent_forgotten
388,2049,651167.5,natural,new,correctreject,na
389,2111,653116,natural,old,hit,subsequent_remembered
390,1040,654380.5,manmade,new,correctreject,subsequent_forgotten
391,2049,655742.5,natural,new,correctreject,na
