trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1040,184146.5,manmade,new,correctreject,subsequent_forgotten
2,2049,187583.5,natural,new,correctreject,na
3,2041,189190,natural,new,correctreject,subsequent_remembered
4,1049,191129.5,manmade,new,correctreject,na
5,1041,193432,manmade,new,correctreject,subsequent_remembered
6,1049,195205,manmade,new,correctreject,na
7,1031,196847,manmade,new,falsealarm,subsequent_remembered
8,2049,198560,natural,new,correctreject,na
9,2041,200107.5,natural,new,correctreject,subsequent_remembered
10,1049,201763.5,manmade,new,correctreject,na
11,1040,203829,manmade,new,correctreject,subsequent_forgotten
12,2049,205589.5,natural,new,correctreject,na
13,1041,207431.5,manmade,new,correctreject,subsequent_remembered
14,2049,209110,natural,new,correctreject,na
15,1041,210661.5,manmade,new,correctreject,subsequent_remembered
16,2049,212193.5,natural,new,correctreject,na
17,1041,213753,manmade,new,correctreject,subsequent_remembered
18,1049,216177.5,manmade,new,correctreject,na
19,2041,217964.5,natural,new,correctreject,subsequent_remembered
20,1049,219687,manmade,new,correctreject,na
21,2041,221481.5,natural,new,correctreject,subsequent_remembered
22,1049,223498.5,manmade,new,correctreject,na
23,1041,225385.5,manmade,new,correctreject,subsequent_remembered
24,1049,227400.5,manmade,new,correctreject,na
25,2111,229516.5,natural,old,hit,subsequent_remembered
26,2040,231025.5,natural,new,correctreject,subsequent_forgotten
27,1121,232828.5,manmade,old,miss,subsequent_remembered
28,1049,234321.5,manmade,new,correctreject,na
29,1111,235794,manmade,old,hit,subsequent_remembered
30,2041,237246.5,natural,new,correctreject,subsequent_remembered
31,2049,239249,natural,new,correctreject,na
32,2041,240753,natural,new,correctreject,subsequent_remembered
33,1111,243156,manmade,old,hit,subsequent_remembered
34,1049,244845.5,manmade,new,correctreject,na
35,2111,246355.5,natural,old,hit,subsequent_remembered
36,1041,248583,manmade,new,correctreject,subsequent_remembered
37,2111,250825,natural,old,hit,subsequent_remembered
38,1039,252848,manmade,new,falsealarm,na
39,1121,254307,manmade,old,miss,subsequent_remembered
40,2040,256079.5,natural,new,correctreject,subsequent_forgotten
41,2111,258542.5,natural,old,hit,subsequent_remembered
42,1049,260344,manmade,new,correctreject,na
43,1111,262332,manmade,old,hit,subsequent_remembered
