trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1040,328905.5,manmade,new,correctreject,subsequent_forgotten
2,1049,330481,manmade,new,correctreject,na
3,1040,331726.5,manmade,new,correctreject,subsequent_forgotten
4,2049,333332,natural,new,correctreject,na
5,2041,334411,natural,new,correctreject,subsequent_remembered
6,1049,335463.5,manmade,new,correctreject,na
7,1040,336801.5,manmade,new,correctreject,subsequent_forgotten
8,1049,338172,manmade,new,correctreject,na
9,2041,339254,natural,new,correctreject,subsequent_remembered
10,2049,340655.5,natural,new,correctreject,na
11,2040,342269.5,natural,new,correctreject,subsequent_forgotten
12,1049,343881.5,manmade,new,correctreject,na
13,1041,345014,manmade,new,correctreject,subsequent_remembered
14,2049,346180,natural,new,correctreject,na
15,2031,347334,natural,new,falsealarm,subsequent_remembered
16,1049,348700,manmade,new,correctreject,na
17,1121,349884,manmade,old,miss,subsequent_remembered
18,2041,351074.5,natural,new,correctreject,subsequent_remembered
19,1049,352969,manmade,new,correctreject,na
20,2041,354457,natural,new,correctreject,subsequent_remembered
21,2111,355667.5,natural,old,hit,subsequent_remembered
22,1049,357240,manmade,new,correctreject,na
23,2040,358474.5,natural,new,correctreject,subsequent_forgotten
24,2049,359844.5,natural,new,correctreject,na
25,1121,361568,manmade,old,miss,subsequent_remembered
26,1031,363255,manmade,new,falsealarm,subsequent_remembered
27,1119,364557,manmade,old,hit,na
28,2039,366413.5,natural,new,falsealarm,na
29,2030,367719,natural,new,falsealarm,subsequent_forgotten
30,2039,369096.5,natural,new,falsealarm,na
31,1031,370485.5,manmade,new,falsealarm,subsequent_remembered
32,2049,371870.5,natural,new,correctreject,na
33,2030,373298,natural,new,falsealarm,subsequent_forgotten
34,2111,374758,natural,old,hit,subsequent_remembered
35,2049,376250,natural,new,correctreject,na
36,1040,377695.5,manmade,new,correctreject,subsequent_forgotten
37,1049,379337,manmade,new,correctreject,na
38,2030,380866,natural,new,falsealarm,subsequent_forgotten
39,2049,382189.5,natural,new,correctreject,na
40,1030,384243.5,manmade,new,falsealarm,subsequent_forgotten
41,1119,385445.5,manmade,old,hit,na
42,1039,387064,manmade,new,falsealarm,na
43,2031,388726,natural,new,falsealarm,subsequent_remembered
44,2119,390388,natural,old,hit,na
45,2119,391692.5,natural,old,hit,na
46,1049,393696.5,manmade,new,correctreject,na
47,2111,395356,natural,old,hit,subsequent_remembered
48,2041,396938,natural,new,correctreject,subsequent_remembered
49,2121,398487.5,natural,old,miss,subsequent_remembered
50,2049,400143,natural,new,correctreject,na
51,1111,401607.5,manmade,old,hit,subsequent_remembered
52,1031,403244,manmade,new,falsealarm,subsequent_remembered
53,2111,405322,natural,old,hit,subsequent_remembered
54,1039,407092.5,manmade,new,falsealarm,na
55,1111,409031.5,manmade,old,hit,subsequent_remembered
56,1040,411420.5,manmade,new,correctreject,subsequent_forgotten
57,1039,413599,manmade,new,falsealarm,na
58,2110,415158,natural,old,hit,subsequent_forgotten
59,2119,416521.5,natural,old,hit,na
60,1041,418507,manmade,new,correctreject,subsequent_remembered
61,1119,420056,manmade,old,hit,na
62,2049,421874,natural,new,correctreject,na
63,1121,423977,manmade,old,miss,subsequent_remembered
64,1110,425347,manmade,old,hit,subsequent_forgotten
65,1041,426756,manmade,new,correctreject,subsequent_remembered
66,2049,428634,natural,new,correctreject,na
67,2121,430355,natural,old,miss,subsequent_remembered
68,2129,432348.5,natural,old,miss,na
69,2041,433717.5,natural,new,correctreject,subsequent_remembered
70,1111,436149,manmade,old,hit,subsequent_remembered
71,2121,437717,natural,old,miss,subsequent_remembered
72,2049,440228,natural,new,correctreject,na
73,1119,442183.5,manmade,old,hit,na
74,1121,443848.5,manmade,old,miss,subsequent_remembered
75,2111,445712.5,natural,old,hit,subsequent_remembered
76,1041,447408.5,manmade,new,correctreject,subsequent_remembered
77,2039,449488,natural,new,falsealarm,na
78,1041,451652,manmade,new,correctreject,subsequent_remembered
79,1119,453042.5,manmade,old,hit,na
80,1129,454484,manmade,old,miss,na
81,2039,456891,natural,new,falsealarm,na
82,1031,458648.5,manmade,new,falsealarm,subsequent_remembered
83,2121,459910,natural,old,miss,subsequent_remembered
84,2049,461444.5,natural,new,correctreject,na
85,2031,463677.5,natural,new,falsealarm,subsequent_remembered
86,2111,465331,natural,old,hit,subsequent_remembered
87,1049,466768,manmade,new,correctreject,na
88,1041,468147.5,manmade,new,correctreject,subsequent_remembered
89,1049,469757.5,manmade,new,correctreject,na
90,1111,471124,manmade,old,hit,subsequent_remembered
91,2119,472554,natural,old,hit,na
92,2041,473819.5,natural,new,correctreject,subsequent_remembered
93,2049,475482.5,natural,new,correctreject,na
94,1119,477268,manmade,old,hit,na
95,2119,478612,natural,old,hit,na
96,2041,480317.5,natural,new,correctreject,subsequent_remembered
97,2039,481955,natural,new,falsealarm,na
98,2121,483452.5,natural,old,miss,subsequent_remembered
99,2119,485559.5,natural,old,hit,na
100,1121,486882.5,manmade,old,miss,subsequent_remembered
101,2041,490088,natural,new,correctreject,subsequent_remembered
102,1110,491848,manmade,old,hit,subsequent_forgotten
103,1111,493211,manmade,old,hit,subsequent_remembered
104,2049,494797.5,natural,new,correctreject,na
105,1031,496608,manmade,new,falsealarm,subsequent_remembered
106,1111,498525,manmade,old,hit,subsequent_remembered
107,2119,500311,natural,old,hit,na
108,2111,501852,natural,old,hit,subsequent_remembered
109,2049,503627,natural,new,correctreject,na
