trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2040,71726,natural,new,correctreject,subsequent_forgotten
2,1049,73802,manmade,new,correctreject,na
3,1041,75619.5,manmade,new,correctreject,subsequent_remembered
4,2049,77017,natural,new,correctreject,na
5,1041,78542.5,manmade,new,correctreject,subsequent_remembered
6,1039,80442,manmade,new,falsealarm,na
7,2040,81896,natural,new,correctreject,subsequent_forgotten
8,2049,83693,natural,new,correctreject,na
9,1041,85573,manmade,new,correctreject,subsequent_remembered
10,2049,87865,natural,new,correctreject,na
11,2121,89304,natural,old,miss,subsequent_remembered
12,1041,90972.5,manmade,new,correctreject,subsequent_remembered
13,2049,92729,natural,new,correctreject,na
14,1041,94607.5,manmade,new,correctreject,subsequent_remembered
15,1049,95987,manmade,new,correctreject,na
16,2041,97387.5,natural,new,correctreject,subsequent_remembered
17,2049,99614.5,natural,new,correctreject,na
18,1041,101334.5,manmade,new,correctreject,subsequent_remembered
19,2049,102804,natural,new,correctreject,na
20,1041,104396,manmade,new,correctreject,subsequent_remembered
21,1111,106404,manmade,old,hit,subsequent_remembered
22,1049,108579,manmade,new,correctreject,na
23,1041,109921,manmade,new,correctreject,subsequent_remembered
24,1111,111420,manmade,old,hit,subsequent_remembered
25,1049,113427,manmade,new,correctreject,na
26,1041,115137,manmade,new,correctreject,subsequent_remembered
27,1049,116406.5,manmade,new,correctreject,na
28,1041,118050,manmade,new,correctreject,subsequent_remembered
29,1049,119785.5,manmade,new,correctreject,na
30,1041,122063.5,manmade,new,correctreject,subsequent_remembered
31,1049,124016.5,manmade,new,correctreject,na
32,2041,125816,natural,new,correctreject,subsequent_remembered
33,1111,127249.5,manmade,old,hit,subsequent_remembered
34,1049,128872.5,manmade,new,correctreject,na
35,2119,130782,natural,old,hit,na
36,1111,132292.5,manmade,old,hit,subsequent_remembered
37,1119,134055.5,manmade,old,hit,na
38,1111,135773.5,manmade,old,hit,subsequent_remembered
39,2041,137063.5,natural,new,correctreject,subsequent_remembered
40,1039,138753,manmade,new,falsealarm,na
41,1111,140207,manmade,old,hit,subsequent_remembered
42,1111,141999,manmade,old,hit,subsequent_remembered
43,1041,144310,manmade,new,correctreject,subsequent_remembered
44,1049,145854,manmade,new,correctreject,na
45,2041,147323,natural,new,correctreject,subsequent_remembered
46,1111,149309.5,manmade,old,hit,subsequent_remembered
47,1111,150717.5,manmade,old,hit,subsequent_remembered
48,1119,152560.5,manmade,old,hit,na
49,2039,153933,natural,new,falsealarm,na
50,1111,155949.5,manmade,old,hit,subsequent_remembered
51,1031,157485.5,manmade,new,falsealarm,subsequent_remembered
52,2039,159057,natural,new,falsealarm,na
53,1111,160751.5,manmade,old,hit,subsequent_remembered
54,2111,162548.5,natural,old,hit,subsequent_remembered
55,2031,164034.5,natural,new,falsealarm,subsequent_remembered
56,1049,165733,manmade,new,correctreject,na
57,2031,167176.5,natural,new,falsealarm,subsequent_remembered
58,1049,169567.5,manmade,new,correctreject,na
59,1041,171140.5,manmade,new,correctreject,subsequent_remembered
60,2049,173576,natural,new,correctreject,na
61,1041,175711,manmade,new,correctreject,subsequent_remembered
62,1119,177144.5,manmade,old,hit,na
63,2049,178491,natural,new,correctreject,na
64,1041,179929.5,manmade,new,correctreject,subsequent_remembered
65,1119,182204,manmade,old,hit,na
66,1119,184168.5,manmade,old,hit,na
67,2121,185643,natural,old,miss,subsequent_remembered
68,2049,187383.5,natural,new,correctreject,na
69,1119,189290.5,manmade,old,hit,na
