trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2041,27320.5,natural,new,correctreject,subsequent_remembered
2,1049,29347.5,manmade,new,correctreject,na
3,2040,30463.5,natural,new,correctreject,subsequent_forgotten
4,2049,32378.5,natural,new,correctreject,na
5,1041,34226.5,manmade,new,correctreject,subsequent_remembered
6,2049,35563,natural,new,correctreject,na
7,1040,37513.5,manmade,new,correctreject,subsequent_forgotten
8,2049,38931.5,natural,new,correctreject,na
9,1041,40709.5,manmade,new,correctreject,subsequent_remembered
10,2049,42028.5,natural,new,correctreject,na
11,1040,43319,manmade,new,correctreject,subsequent_forgotten
12,1049,44287,manmade,new,correctreject,na
13,2121,45658.5,natural,old,miss,subsequent_remembered
14,2040,46774.5,natural,new,correctreject,subsequent_forgotten
15,1111,47941.5,manmade,old,hit,subsequent_remembered
16,2049,49744,natural,new,correctreject,na
17,2111,50952,natural,old,hit,subsequent_remembered
18,2041,51950.5,natural,new,correctreject,subsequent_remembered
19,2049,53092,natural,new,correctreject,na
20,1040,54482,manmade,new,correctreject,subsequent_forgotten
21,2049,55749.5,natural,new,correctreject,na
22,1041,57295,manmade,new,correctreject,subsequent_remembered
23,2119,58309,natural,old,hit,na
24,2049,59399,natural,new,correctreject,na
25,1111,60587,manmade,old,hit,subsequent_remembered
26,2040,61764.5,natural,new,correctreject,subsequent_forgotten
27,1049,63102,manmade,new,correctreject,na
28,1031,64385.5,manmade,new,falsealarm,subsequent_remembered
29,2049,65440.5,natural,new,correctreject,na
30,2121,66597.5,natural,old,miss,subsequent_remembered
31,1041,67662,manmade,new,correctreject,subsequent_remembered
32,1049,68993,manmade,new,correctreject,na
33,1041,70524.5,manmade,new,correctreject,subsequent_remembered
34,1049,71947,manmade,new,correctreject,na
35,1119,72986.5,manmade,old,hit,na
36,2121,74798.5,natural,old,miss,subsequent_remembered
37,2041,76503.5,natural,new,correctreject,subsequent_remembered
38,1111,77660.5,manmade,old,hit,subsequent_remembered
39,1049,79708.5,manmade,new,correctreject,na
40,2119,80937.5,natural,old,hit,na
41,2119,82053,natural,old,hit,na
42,2110,83215,natural,old,hit,subsequent_forgotten
43,2041,84863.5,natural,new,correctreject,subsequent_remembered
44,1120,86287,manmade,old,miss,subsequent_forgotten
45,2039,87915,natural,new,falsealarm,na
46,1111,89164,manmade,old,hit,subsequent_remembered
47,2111,90382.5,natural,old,hit,subsequent_remembered
48,1119,91657.5,manmade,old,hit,na
49,1040,92850,manmade,new,correctreject,subsequent_forgotten
50,2049,94544.5,natural,new,correctreject,na
51,2041,95727.5,natural,new,correctreject,subsequent_remembered
52,2119,97862,natural,old,hit,na
53,2111,99065,natural,old,hit,subsequent_remembered
54,1049,100263,manmade,new,correctreject,na
55,2031,102193.5,natural,new,falsealarm,subsequent_remembered
56,2049,103749.5,natural,new,correctreject,na
57,2119,105137,natural,old,hit,na
58,1040,106365.5,manmade,new,correctreject,subsequent_forgotten
59,2049,108183,natural,new,correctreject,na
60,1040,110251.5,manmade,new,correctreject,subsequent_forgotten
61,2039,111418.5,natural,new,falsealarm,na
62,1031,112749.5,manmade,new,falsealarm,subsequent_remembered
63,2049,114618.5,natural,new,correctreject,na
64,1041,115724,manmade,new,correctreject,subsequent_remembered
65,2111,117157.5,natural,old,hit,subsequent_remembered
66,2129,118387,natural,old,miss,na
67,1120,119707,manmade,old,miss,subsequent_forgotten
68,1049,121320,manmade,new,correctreject,na
69,2119,122425.5,natural,old,hit,na
70,2041,124181.5,natural,new,correctreject,subsequent_remembered
71,1121,125466.5,manmade,old,miss,subsequent_remembered
72,2049,126434,natural,new,correctreject,na
73,2040,128257,natural,new,correctreject,subsequent_forgotten
74,2049,129844,natural,new,correctreject,na
75,1119,131129,manmade,old,hit,na
76,1040,132495.5,manmade,new,correctreject,subsequent_forgotten
77,1039,134513.5,manmade,new,falsealarm,na
78,2040,135956.5,natural,new,correctreject,subsequent_forgotten
79,2049,137610,natural,new,correctreject,na
80,1040,138926,manmade,new,correctreject,subsequent_forgotten
81,2049,140067.5,natural,new,correctreject,na
82,1129,141128,manmade,old,miss,na
83,1041,142678.5,manmade,new,correctreject,subsequent_remembered
84,1119,143912,manmade,old,hit,na
85,2049,145284,natural,new,correctreject,na
86,2111,146538.5,natural,old,hit,subsequent_remembered
87,2040,148299.5,natural,new,correctreject,subsequent_forgotten
88,1111,149917.5,manmade,old,hit,subsequent_remembered
89,2111,150992.5,natural,old,hit,subsequent_remembered
90,1120,152636,manmade,old,miss,subsequent_forgotten
91,1111,154504.5,manmade,old,hit,subsequent_remembered
92,1039,155784.5,manmade,new,falsealarm,na
93,1111,156869.5,manmade,old,hit,subsequent_remembered
94,2041,158646,natural,new,correctreject,subsequent_remembered
95,1049,159839,manmade,new,correctreject,na
96,1031,161472,manmade,new,falsealarm,subsequent_remembered
