trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,2040,2732,natural,new,correctreject,subsequent_forgotten
2,1049,3751,manmade,new,correctreject,na
3,1040,4731.5,manmade,new,correctreject,subsequent_forgotten
4,2049,5962,natural,new,correctreject,na
5,2040,7168,natural,new,correctreject,subsequent_forgotten
6,2049,8284.5,natural,new,correctreject,na
7,1040,9353,manmade,new,correctreject,subsequent_forgotten
8,1049,10260,manmade,new,correctreject,na
9,1090,11790,manmade,new,na,subsequent_forgotten
10,1049,13122.5,manmade,new,correctreject,na
11,2040,14282.5,natural,new,correctreject,subsequent_forgotten
12,1049,15310.5,manmade,new,correctreject,na
13,2040,16825,natural,new,correctreject,subsequent_forgotten
14,2049,18371,natural,new,correctreject,na
15,2040,19963,natural,new,correctreject,subsequent_forgotten
16,1049,21136.5,manmade,new,correctreject,na
17,1040,22980.5,manmade,new,correctreject,subsequent_forgotten
18,2049,24552.5,natural,new,correctreject,na
19,2040,25495,natural,new,correctreject,subsequent_forgotten
20,1049,26518.5,manmade,new,correctreject,na
21,2120,28053.5,natural,old,miss,subsequent_forgotten
22,2041,29184.5,natural,new,correctreject,subsequent_remembered
23,2049,30357,natural,new,correctreject,na
24,2040,32150.5,natural,new,correctreject,subsequent_forgotten
25,2049,33978,natural,new,correctreject,na
26,2041,35439.5,natural,new,correctreject,subsequent_remembered
27,1121,36726.5,manmade,old,miss,subsequent_remembered
28,2049,38438.5,natural,new,correctreject,na
29,2041,39672,natural,new,correctreject,subsequent_remembered
30,1049,40673,manmade,new,correctreject,na
31,2040,41751.5,natural,new,correctreject,subsequent_forgotten
32,2049,42809,natural,new,correctreject,na
33,2041,44054,natural,new,correctreject,subsequent_remembered
34,1049,44991.5,manmade,new,correctreject,na
35,2120,45929.5,natural,old,miss,subsequent_forgotten
36,2111,46915,natural,old,hit,subsequent_remembered
37,1119,48765.5,manmade,old,hit,na
38,2111,50321.5,natural,old,hit,subsequent_remembered
39,2121,51767,natural,old,miss,subsequent_remembered
40,1041,53612.5,manmade,new,correctreject,subsequent_remembered
41,2120,55539,natural,old,miss,subsequent_forgotten
42,2049,57430.5,natural,new,correctreject,na
43,2121,58411,natural,old,miss,subsequent_remembered
44,1040,60328.5,manmade,new,correctreject,subsequent_forgotten
45,1121,61551.5,manmade,old,miss,subsequent_remembered
46,1049,62551.5,manmade,new,correctreject,na
47,1120,63671.5,manmade,old,miss,subsequent_forgotten
48,2120,65342.5,natural,old,miss,subsequent_forgotten
49,1040,66905.5,manmade,new,correctreject,subsequent_forgotten
50,1111,67814,manmade,old,hit,subsequent_remembered
51,2121,69217.5,natural,old,miss,subsequent_remembered
52,1049,70732.5,manmade,new,correctreject,na
53,2121,71809,natural,old,miss,subsequent_remembered
54,2040,72776.5,natural,new,correctreject,subsequent_forgotten
55,2049,73816.5,natural,new,correctreject,na
56,1040,74771,manmade,new,correctreject,subsequent_forgotten
57,1049,75958,manmade,new,correctreject,na
58,2129,77114,natural,old,miss,na
59,2129,78226,natural,old,miss,na
60,1121,79882,manmade,old,miss,subsequent_remembered
61,1119,81057.5,manmade,old,hit,na
62,2119,82158.5,natural,old,hit,na
63,1120,83117.5,manmade,old,miss,subsequent_forgotten
64,2120,84252,natural,old,miss,subsequent_forgotten
65,2030,85297,natural,new,falsealarm,subsequent_forgotten
66,2049,86221,natural,new,correctreject,na
67,1041,87607.5,manmade,new,correctreject,subsequent_remembered
68,1049,88520,manmade,new,correctreject,na
69,2040,89813.5,natural,new,correctreject,subsequent_forgotten
70,2049,90947,natural,new,correctreject,na
71,1129,91978.5,manmade,old,miss,na
72,2040,93314,natural,new,correctreject,subsequent_forgotten
73,2049,94391.5,natural,new,correctreject,na
74,2119,95348.5,natural,old,hit,na
75,2040,96617,natural,new,correctreject,subsequent_forgotten
76,1039,97693.5,manmade,new,falsealarm,na
77,1040,99367.5,manmade,new,correctreject,subsequent_forgotten
78,2049,100716.5,natural,new,correctreject,na
79,1040,102301.5,manmade,new,correctreject,subsequent_forgotten
80,1049,103762,manmade,new,correctreject,na
81,2119,105334,natural,old,hit,na
82,1030,106724.5,manmade,new,falsealarm,subsequent_forgotten
83,1111,108174,manmade,old,hit,subsequent_remembered
84,2049,109587.5,natural,new,correctreject,na
85,2121,110663,natural,old,miss,subsequent_remembered
86,1040,111984,manmade,new,correctreject,subsequent_forgotten
87,1129,113612.5,manmade,old,miss,na
88,2121,114546,natural,old,miss,subsequent_remembered
89,2110,115809.5,natural,old,hit,subsequent_forgotten
90,1049,116994.5,manmade,new,correctreject,na
91,2120,118844,natural,old,miss,subsequent_forgotten
92,1120,120223.5,manmade,old,miss,subsequent_forgotten
93,2111,122237,natural,old,hit,subsequent_remembered
94,1121,123509,manmade,old,miss,subsequent_remembered
95,2129,125143.5,natural,old,miss,na
96,2041,126322,natural,new,correctreject,subsequent_remembered
97,1049,127744.5,manmade,new,correctreject,na
98,1119,128980,manmade,old,hit,na
99,2119,130365,natural,old,hit,na
100,2030,132240,natural,new,falsealarm,subsequent_forgotten
101,2129,134504,natural,old,miss,na
102,2129,135690.5,natural,old,miss,na
103,2121,137207.5,natural,old,miss,subsequent_remembered
104,1049,138162.5,manmade,new,correctreject,na
105,2129,139825.5,natural,old,miss,na
106,2041,140737,natural,new,correctreject,subsequent_remembered
107,2049,141981,natural,new,correctreject,na
108,1031,143420,manmade,new,falsealarm,subsequent_remembered
109,1120,144745,manmade,old,miss,subsequent_forgotten
110,1119,146011.5,manmade,old,hit,na
111,2119,147142.5,natural,old,hit,na
112,2049,148489.5,natural,new,correctreject,na
113,2119,150319,natural,old,hit,na
