trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1,1040,202069.5,manmade,new,correctreject,subsequent_forgotten
2,2049,204402.5,natural,new,correctreject,na
3,2041,205848,natural,new,correctreject,subsequent_remembered
4,1049,207485.5,manmade,new,correctreject,na
5,1041,209512.5,manmade,new,correctreject,subsequent_remembered
6,1049,210909.5,manmade,new,correctreject,na
7,1040,212213.5,manmade,new,correctreject,subsequent_forgotten
8,2049,213886.5,natural,new,correctreject,na
9,2040,215347.5,natural,new,correctreject,subsequent_forgotten
10,1049,216742,manmade,new,correctreject,na
11,1041,218595,manmade,new,correctreject,subsequent_remembered
12,2049,220096,natural,new,correctreject,na
13,1041,221430.5,manmade,new,correctreject,subsequent_remembered
14,2049,222690,natural,new,correctreject,na
15,1041,224139.5,manmade,new,correctreject,subsequent_remembered
16,2049,225436,natural,new,correctreject,na
17,1041,226824.5,manmade,new,correctreject,subsequent_remembered
18,1049,228938.5,manmade,new,correctreject,na
19,2041,230598,natural,new,correctreject,subsequent_remembered
20,1049,232084,manmade,new,correctreject,na
21,2041,233560,natural,new,correctreject,subsequent_remembered
22,1049,235281.5,manmade,new,correctreject,na
23,1041,236830.5,manmade,new,correctreject,subsequent_remembered
24,1049,238518,manmade,new,correctreject,na
25,2121,240338,natural,old,miss,subsequent_remembered
26,2041,241882.5,natural,new,correctreject,subsequent_remembered
27,1111,243861.5,manmade,old,hit,subsequent_remembered
28,1039,245411,manmade,new,falsealarm,na
29,1111,246826.5,manmade,old,hit,subsequent_remembered
30,2031,248328.5,natural,new,falsealarm,subsequent_remembered
31,2049,250263,natural,new,correctreject,na
32,2041,251973.5,natural,new,correctreject,subsequent_remembered
33,1111,254227.5,manmade,old,hit,subsequent_remembered
34,1049,255872,manmade,new,correctreject,na
35,2111,257395,natural,old,hit,subsequent_remembered
36,1030,259491.5,manmade,new,falsealarm,subsequent_forgotten
37,2111,261595,natural,old,hit,subsequent_remembered
38,1049,263545.5,manmade,new,correctreject,na
39,1120,264816.5,manmade,old,miss,subsequent_forgotten
40,2031,266348,natural,new,falsealarm,subsequent_remembered
41,2110,268406.5,natural,old,hit,subsequent_forgotten
42,1049,270105.5,manmade,new,correctreject,na
43,1111,271514.5,manmade,old,hit,subsequent_remembered
44,1040,273546.5,manmade,new,correctreject,subsequent_forgotten
45,1120,274943.5,manmade,old,miss,subsequent_forgotten
46,1049,277148.5,manmade,new,correctreject,na
47,2119,279066,natural,old,hit,na
48,2041,280657,natural,new,correctreject,subsequent_remembered
49,2119,282522,natural,old,hit,na
50,2111,283988.5,natural,old,hit,subsequent_remembered
51,1119,285560.5,manmade,old,hit,na
52,1039,286919.5,manmade,new,falsealarm,na
53,1110,288760,manmade,old,hit,subsequent_forgotten
54,2110,290503.5,natural,old,hit,subsequent_forgotten
55,1111,292853.5,manmade,old,hit,subsequent_remembered
56,1031,294763.5,manmade,new,falsealarm,subsequent_remembered
57,2129,296100,natural,old,miss,na
58,2110,298133.5,natural,old,hit,subsequent_forgotten
59,2039,300038.5,natural,new,falsealarm,na
60,2030,301535.5,natural,new,falsealarm,subsequent_forgotten
61,1129,303296.5,manmade,old,miss,na
62,2049,304617.5,natural,new,correctreject,na
63,2041,306175,natural,new,correctreject,subsequent_remembered
64,2129,307531.5,natural,old,miss,na
65,1119,309223.5,manmade,old,hit,na
66,2119,310763.5,natural,old,hit,na
67,1119,314958,manmade,old,hit,na
68,1039,316333,manmade,new,falsealarm,na
69,1129,317988.5,manmade,old,miss,na
70,2110,319816.5,natural,old,hit,subsequent_forgotten
71,2041,321391.5,natural,new,correctreject,subsequent_remembered
72,1039,323125,manmade,new,falsealarm,na
73,1040,324474,manmade,new,correctreject,subsequent_forgotten
74,1120,325920.5,manmade,old,miss,subsequent_forgotten
75,1049,327635,manmade,new,correctreject,na
76,2040,328864,natural,new,correctreject,subsequent_forgotten
77,1129,330123.5,manmade,old,miss,na
